2022-11-19 13:12:02.111[1668863522111] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668863522111&signature=038324250b0bf4786515c62ab23ca65ca427978131bcbb13b0e76cd3dbffe0a9
2022-11-19 13:12:16.687[1668863536687] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668863536687&signature=3050b34589c7c3bfcca8cf7098b8d71037761ccadbfb62f18cb759ec3cadcadb
2022-11-19 13:12:31.086[1668863551086] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668863551086&signature=613aae8f9c544c8a6e0448878962f965f6d658e63e34ca5f14e7b9c8b6b3ba9c
2022-11-19 13:12:45.776[1668863565776] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668863565775&signature=8c9b35782718c5baab12739c0e0343febb84102f47b78fee981e9281a919da56
2022-11-19 13:12:59.470[1668863579470] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668863579470&signature=f433a8187bcd0109a686132079d37f76962c3adc3f86056d7855dca6ce75c183
2022-11-19 14:41:29.238[1668868889238] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668868889174&signature=f20649f3677e448e33205bce425ec1641554610df411a2a580659075a8447d33
2022-11-19 14:43:49.840[1668869029840] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668869029834&signature=0b9d7d17292fc43cf74d979dbeb7a042a696bfe38d34a4be78e78f2802bec941
2022-11-19 14:43:50.671[1668869030671] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/config/getall?timestamp=1668869030671&signature=6863fe658463b9f25134c98047217e00bc454adfab612bba97840b8f761891de
2022-11-19 14:43:51.868[1668869031868] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668869031868&signature=984a0b7681fe1d49cb550962c6e859bd37501f58ae6960cf2b8a3754d1c7a12c
2022-11-19 14:43:52.339[1668869032339] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&timestamp=1668869032339&signature=cbe14d2304b410e31bbb347ad45745868942714d61d3e7b4968f0fb3cfee01e3
2022-11-19 14:43:53.419[1668869033419] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=ETH&timestamp=1668869033419&signature=3ad6c687646f6a59a512ecefd3c30d1b81f8670c5c8c6c3377e21a11bddaed2d
2022-11-19 14:43:53.735[1668869033735] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=BNB&timestamp=1668869033735&signature=51e3c1fb5905dda63a7439a75e86627eb22b903ff9cd4a62e8d5e26abf79cd36
2022-11-19 14:43:54.034[1668869034034] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/deposit/address?coin=NEO&network=TRX&timestamp=1668869034034&signature=4bf6cc603402737a65321c5dbb08cff702e7dbd94830b51a53176591960cc587
2022-11-19 14:44:11.040[1668869051040] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668869051037&signature=55490096669d6ed19ed7e9f70034b4fdb8edaf38c39b0763a31d706f25b0d0fd
2022-11-19 14:44:11.669[1668869051669] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/config/getall?timestamp=1668869051669&signature=0814f17c8cde767ea692d717488656919ad31b7fea13c72ac424527e11f5c104
